,선수,연도,팀,연봉(만원),WAR
0,김상진,1997,OB,9800,3.34
1,김상호,1997,OB,9800,3.929
2,권명철,1997,OB,6200,0.934
3,김종석,1997,OB,6200,-0.066
4,김민호,1997,OB,6200,2.904
5,진필중,1997,OB,5800,1.886
6,심정수,1997,OB,5500,0.827
7,김태형,1997,OB,5400,0.539
8,안경현,1997,OB,5200,2.072
9,김경원,1997,OB,5200,3.855
10,강길용,1997,OB,5000,0.481
11,강병규,1997,OB,5000,1.958
12,정수근,1997,OB,4600,2.452
13,이광우,1997,OB,4400,2.128
14,장원진,1997,OB,4200,0.713
15,이용호,1997,OB,4000,-0.296
16,신동수,1997,OB,4000,
17,박명환,1997,OB,4000,2.972
18,이도형,1997,OB,3600,0.597
19,한태균,1997,OB,3200,0.207
20,전형도,1997,OB,3000,-0.055
21,유택현,1997,OB,2800,
22,박상근,1997,OB,2700,
23,추성건,1997,OB,2600,
24,이종민,1997,OB,2500,1.644
25,홍길남,1997,OB,2400,-0.06
26,최기문,1997,OB,2300,0.182
27,한명윤,1997,OB,2300,0.102
28,소상영,1997,OB,2200,0.015
29,김유봉,1997,OB,2200,
30,김영수,1997,OB,2000,0.195
31,문희성,1997,OB,2000,0.84
32,김환조,1997,OB,2000,0.251
33,김도균,1997,OB,2000,-0.025
34,진갑용,1997,OB,2000,1.226
35,김도형,1997,OB,2000,0.172
36,이경필,1997,OB,2000,2.469
37,김성환,1997,OB,2000,
38,강규철,1997,OB,2000,-0.328
39,김정규,1997,OB,1900,-0.071
40,강신창,1997,OB,1800,0.029
41,최용호,1997,OB,1700,-0.007
42,김봉수,1997,OB,1300,
0,김상진,1998,OB,9800,2.195
1,김상호,1998,OB,9800,0.306
2,김민호,1998,OB,7200,0.471
3,김경원,1998,OB,6700,1.336
4,권명철,1998,OB,6200,-0.333
5,진필중,1998,OB,6000,6.064
6,강병규,1998,OB,6000,2.576
7,강길용,1998,OB,5500,-0.254
8,안경현,1998,OB,5200,1.349
9,김종석,1998,OB,5200,
10,심정수,1998,OB,5100,4.137
11,김태형,1998,OB,5100,-0.291
12,박명환,1998,OB,5000,4.367
13,장원진,1998,OB,5000,-0.429
14,이광우,1998,OB,5000,0.889
15,정수근,1998,OB,4600,4.198
16,이종민,1998,OB,3800,-0.532
17,이도형,1998,OB,3600,
18,이용호,1998,OB,3400,
19,유택현,1998,OB,3300,
20,이경필,1998,OB,3200,3.359
21,진갑용,1998,OB,3200,1.217
22,한태균,1998,OB,3000,0.493
23,신동수,1998,OB,3000,-0.19
24,최기문,1998,OB,2900,-0.124
25,전형도,1998,OB,2800,0.084
26,추성건,1998,OB,2500,-0.409
27,김영수,1998,OB,2500,-0.065
28,박상근,1998,OB,2500,
29,홍길남,1998,OB,2200,
30,한명윤,1998,OB,2200,0.062
31,김정규,1998,OB,2100,-0.023
32,김유봉,1998,OB,2100,
33,소상영,1998,OB,2100,
34,문희성,1998,OB,2000,
35,최용호,1998,OB,1900,1.157
36,김환조,1998,OB,1850,
37,강규철,1998,OB,1800,-0.093
38,김도형,1998,OB,1800,
39,김도균,1998,OB,1800,
40,김성환,1998,OB,1800,
41,강신창,1998,OB,1650,-0.047
42,이경원,1998,OB,1300,-0.133
43,김봉수,1998,OB,1300,
0,진필중,1999,두산,8000,6.533
1,정수근,1999,두산,7600,5.553
2,심정수,1999,두산,7000,5.639
3,김실,1999,두산,7000,-0.023
4,강병규,1999,두산,6900,1.895
5,김민호,1999,두산,6900,2.152
6,박명환,1999,두산,6800,0.482
7,김경원,1999,두산,6500,
8,최훈재,1999,두산,6200,1.074
9,안경현,1999,두산,5700,0.369
10,이광우,1999,두산,5500,1.155
11,김태형,1999,두산,5100,-0.148
12,이경필,1999,두산,4800,4.743
13,장원진,1999,두산,4700,1.553
14,강길용,1999,두산,4500,-0.464
15,김종석,1999,두산,4200,0.063
16,김동주,1999,두산,4000,4.936
17,진갑용,1999,두산,4000,
18,이종민,1999,두산,3600,-0.339
19,한태균,1999,두산,3000,0.094
20,차명주,1999,두산,3000,1.563
21,전형도,1999,두산,2800,-0.088
22,추성건,1999,두산,2800,0.018
23,최용호,1999,두산,2800,2.511
24,이재만,1999,두산,2500,-0.059
25,이혜천,1999,두산,2300,1.769
26,김영수,1999,두산,2000,-0.212
27,김정규,1999,두산,2000,0.0
28,김유봉,1999,두산,2000,-0.048
29,한명윤,1999,두산,2000,
30,강혁,1999,두산,2000,-0.131
31,강규철,1999,두산,1900,-0.024
32,함석원,1999,두산,1900,
33,김성환,1999,두산,1800,
34,김도균,1999,두산,1800,
35,조은진,1999,두산,1800,
36,송원국,1999,두산,1800,
37,이경수,1999,두산,1800,-0.149
38,윤상무,1999,두산,1800,0.0
39,김윤일,1999,두산,1700,0.0
40,오세학,1999,두산,1500,
41,김봉수,1999,두산,1500,
42,유병목,1999,두산,1300,
0,진필중,2000,두산,13000,4.144
1,정수근,2000,두산,10500,2.78
2,심정수,2000,두산,10000,5.314
3,김민호,2000,두산,9000,0.785
4,최훈재,2000,두산,7400,-0.583
5,김실,2000,두산,6700,0.126
6,이경필,2000,두산,6500,
7,이광우,2000,두산,6500,3.099
8,장원진,2000,두산,6400,3.486
9,안경현,2000,두산,6300,2.075
10,김동주,2000,두산,6200,7.278
11,박명환,2000,두산,5600,0.311
12,조계현,2000,두산,5400,2.14
13,김태형,2000,두산,5100,-0.235
14,차명주,2000,두산,4500,0.027
15,김종석,2000,두산,4200,
16,최용호,2000,두산,4100,1.54
17,이혜천,2000,두산,4000,1.059
18,홍성흔,2000,두산,4000,2.963
19,이상훈,2000,두산,3800,0.737
20,이도형,2000,두산,3600,0.582
21,홍원기,2000,두산,3600,1.325
22,이용호,2000,두산,3400,-0.111
23,이종민,2000,두산,3400,-0.042
24,전형도,2000,두산,3100,-0.011
25,장성진,2000,두산,3000,0.961
26,한태균,2000,두산,2800,1.851
27,김유봉,2000,두산,2600,1.475
28,문희성,2000,두산,2500,0.264
29,전상열,2000,두산,2500,
30,구자운,2000,두산,2300,4.481
31,강혁,2000,두산,2000,0.175
32,김영수,2000,두산,2000,
33,강규철,2000,두산,1900,-0.024
34,한명윤,2000,두산,1900,
35,이경수,2000,두산,1900,
36,김성환,2000,두산,1800,
37,윤상무,2000,두산,1800,-0.096
38,송원국,2000,두산,1800,
39,박종윤,2000,두산,1800,
40,이승준,2000,두산,1800,
41,김윤일,2000,두산,1700,
42,김경진,2000,두산,1500,
43,이용훈,2000,두산,1500,
44,김성균,2000,두산,1500,
45,오세학,2000,두산,1500,
46,함석원,2000,두산,1500,
47,유병목,2000,두산,1500,
0,진필중,2001,두산,18000,3.325
1,정수근,2001,두산,13500,4.854
2,김동주,2001,두산,12500,2.756
3,심재학,2001,두산,11500,6.411
4,조계현,2001,두산,10800,1.213
5,장원진,2001,두산,10200,0.946
6,이광우,2001,두산,9750,0.349
7,김민호,2001,두산,9500,0.532
8,안경현,2001,두산,8000,3.817
9,홍성흔,2001,두산,7500,1.72
10,최훈재,2001,두산,7400,-0.012
11,박명환,2001,두산,6500,2.289
12,이경필,2001,두산,6000,0.192
13,이혜천,2001,두산,5800,2.744
14,최용호,2001,두산,5700,1.104
15,차명주,2001,두산,5700,2.815
16,홍원기,2001,두산,5600,1.542
17,김태형,2001,두산,5100,0.013
18,이상훈,2001,두산,5000,-0.263
19,이도형,2001,두산,4600,0.519
20,한태균,2001,두산,4600,-0.186
21,박보현,2001,두산,4400,0.38
22,이종민,2001,두산,4400,-0.324
23,구자운,2001,두산,4300,0.533
24,김유봉,2001,두산,4200,
25,장성진,2001,두산,3700,0.343
26,김호,2001,두산,3600,-0.056
27,전상열,2001,두산,3500,
28,이용호,2001,두산,3400,
29,전형도,2001,두산,3100,-0.12
30,문희성,2001,두산,2900,-0.035
31,강봉규,2001,두산,2000,0.117
32,강규철,2001,두산,2000,0.079
33,박찬협,2001,두산,2000,0.068
34,정원석,2001,두산,2000,0.033
35,윤상무,2001,두산,2000,
36,송원국,2001,두산,1800,-0.057
37,문상호,2001,두산,1800,
38,표성대,2001,두산,1800,
39,장원영,2001,두산,1800,
40,정진용,2001,두산,1800,1.027
41,김성균,2001,두산,1700,-0.193
42,이경원,2001,두산,1700,
43,오세학,2001,두산,1700,-0.054
0,진필중,2002,두산,23000,1.882
1,정수근,2002,두산,21000,0.677
2,심재학,2002,두산,20000,2.414
3,김동주,2002,두산,16500,6.126
4,장원진,2002,두산,14700,-0.102
5,안경현,2002,두산,13500,3.135
6,홍성흔,2002,두산,12000,4.179
7,차명주,2002,두산,10700,1.125
8,박명환,2002,두산,10000,5.216
9,이혜천,2002,두산,9600,0.773
10,김민호,2002,두산,9000,-0.702
11,홍원기,2002,두산,8600,-0.833
12,최용호,2002,두산,6700,0.125
13,구자운,2002,두산,5700,2.918
14,전상열,2002,두산,5500,
15,강인권,2002,두산,5500,0.309
16,이경필,2002,두산,5500,-0.079
17,이종민,2002,두산,5200,-0.137
18,박보현,2002,두산,4800,0.048
19,김호,2002,두산,4600,0.464
20,이상훈,2002,두산,4600,2.849
21,한태균,2002,두산,4500,
22,김유봉,2002,두산,3800,-0.084
23,장성진,2002,두산,3700,0.018
24,문희성,2002,두산,3200,-0.134
25,정진용,2002,두산,3000,
26,최경환,2002,두산,3000,1.936
27,강봉규,2002,두산,2900,0.584
28,송원국,2002,두산,2800,0.525
29,최경훈,2002,두산,2400,0.117
30,김원섭,2002,두산,2300,
31,유필선,2002,두산,2300,
32,이대현,2002,두산,2200,
33,김상현,2002,두산,2100,
34,윤태수,2002,두산,2000,0.039
35,김태구,2002,두산,2000,
36,오세학,2002,두산,2000,
37,장인규,2002,두산,2000,0.018
38,김덕용,2002,두산,2000,
39,이재우,2002,두산,2000,0.084
40,김성균,2002,두산,2000,-0.024
41,김민성,2002,두산,1900,
42,문상호,2002,두산,1800,
43,장원영,2002,두산,1800,
44,황규택,2002,두산,1800,
0,김동주,2003,두산,22500,5.61
1,안경현,2003,두산,20000,4.98
2,정수근,2003,두산,18000,2.153
3,홍성흔,2003,두산,18000,1.652
4,심재학,2003,두산,17500,0.524
5,박명환,2003,두산,17000,0.937
6,장원진,2003,두산,13700,1.058
7,차명주,2003,두산,10700,0.493
8,구자운,2003,두산,9000,2.365
9,이혜천,2003,두산,9000,0.681
10,이상훈,2003,두산,8800,-0.418
11,홍원기,2003,두산,7600,2.526
12,김민호,2003,두산,7000,-0.469
13,전상열,2003,두산,7000,
14,손혁,2003,두산,6500,1.085
15,김창희,2003,두산,6300,1.096
16,최경환,2003,두산,6000,0.545
17,김호,2003,두산,5800,
18,최용호,2003,두산,5700,
19,강인권,2003,두산,5500,0.889
20,성영재,2003,두산,4700,
21,이종민,2003,두산,4700,
22,이경필,2003,두산,4500,1.22
23,강봉규,2003,두산,4500,0.116
24,한태균,2003,두산,4000,-0.054
25,이재영,2003,두산,4000,1.781
26,곽채진,2003,두산,3600,0.218
27,김유봉,2003,두산,3500,0.051
28,권명철,2003,두산,3500,1.26
29,문희성,2003,두산,3200,0.282
30,정진용,2003,두산,2600,
31,정성훈,2003,두산,2500,1.271
32,홍민구,2003,두산,2300,
33,김경태,2003,두산,2200,-0.003
34,이재우,2003,두산,2100,0.449
35,김원섭,2003,두산,2100,
36,김상현,2003,두산,2000,
37,김성균,2003,두산,2000,
38,고영민,2003,두산,2000,-0.05
39,이민택,2003,두산,2000,-0.046
40,김태구,2003,두산,2000,0.313
41,김학재,2003,두산,2000,
42,이경환,2003,두산,2000,-0.128
43,윤태수,2003,두산,2000,0.108
44,황덕균,2003,두산,1900,
45,최인성,2003,두산,1800,
0,김동주,2004,두산,30000,5.053
1,안경현,2004,두산,20000,3.419
2,홍성흔,2004,두산,16000,6.174
3,박명환,2004,두산,15500,6.53
4,장원진,2004,두산,15000,1.16
5,구자운,2004,두산,11000,1.536
6,홍원기,2004,두산,11000,-0.084
7,차명주,2004,두산,10000,
8,전상열,2004,두산,9000,
9,이혜천,2004,두산,9000,0.196
10,김창희,2004,두산,7500,1.652
11,최경환,2004,두산,7200,1.269
12,이재영,2004,두산,7000,3.286
13,이경필,2004,두산,7000,1.401
14,강인권,2004,두산,6500,0.094
15,권명철,2004,두산,5300,0.286
16,문희성,2004,두산,5000,-0.241
17,박진철,2004,두산,4400,
18,정성훈,2004,두산,4200,2.066
19,강봉규,2004,두산,4000,0.274
20,이재우,2004,두산,3200,1.448
21,김승회,2004,두산,3100,
22,황윤성,2004,두산,3000,-0.103
23,손시헌,2004,두산,2700,0.523
24,나주환,2004,두산,2600,0.47
25,이승준,2004,두산,2500,0.887
26,정원석,2004,두산,2400,-0.305
27,노경은,2004,두산,2400,-0.517
28,고영민,2004,두산,2300,
29,김태구,2004,두산,2300,-0.014
30,윤태수,2004,두산,2200,
31,채상병,2004,두산,2200,0.116
32,이경환,2004,두산,2200,
33,이민택,2004,두산,2200,
34,전병두,2004,두산,2000,-0.001
35,정종수,2004,두산,2000,
36,유재웅,2004,두산,2000,0.653
37,윤상무,2004,두산,2000,0.005
38,백승훈,2004,두산,2000,-0.066
39,황덕균,2004,두산,1900,
40,김만윤,2004,두산,1900,
41,김성배,2004,두산,1800,-0.34
42,정재훈,2004,두산,1800,1.842
0,김동주,2005,두산,32000,3.944
1,홍성흔,2005,두산,28000,2.684
2,박명환,2005,두산,26000,3.606
3,안경현,2005,두산,20000,2.797
4,장원진,2005,두산,15000,1.259
5,전상렬,2005,두산,14000,0.511
6,최경환,2005,두산,11000,1.022
7,홍원기,2005,두산,10000,0.486
8,이혜천,2005,두산,9500,1.349
9,김창희,2005,두산,9000,1.548
10,강인권,2005,두산,7700,0.31
11,손시헌,2005,두산,6000,2.896
12,이재우,2005,두산,5500,4.404
13,임재철,2005,두산,5000,1.872
14,문희성,2005,두산,4700,1.43
15,강봉규,2005,두산,4000,0.322
16,정재훈,2005,두산,3800,2.853
17,이승준,2005,두산,3700,-0.15
18,전병두,2005,두산,3400,
19,나주환,2005,두산,3300,0.451
20,정원석,2005,두산,3000,-0.082
21,황윤성,2005,두산,2800,0.393
22,김승회,2005,두산,2500,0.062
23,노경은,2005,두산,2400,
24,채상병,2005,두산,2300,
25,김재호,2005,두산,2300,0.155
26,이경환,2005,두산,2200,
27,고영민,2005,두산,2100,-0.194
28,김태구,2005,두산,2100,
29,김무학,2005,두산,2000,
30,황규택,2005,두산,2000,
31,윤석민,2005,두산,2000,0.005
32,구자민,2005,두산,2000,
33,홍마태,2005,두산,2000,
34,용덕한,2005,두산,2000,0.125
35,이경민,2005,두산,2000,-0.016
36,정종수,2005,두산,2000,
37,방승재,2005,두산,2000,0.035
38,백승훈,2005,두산,2000,
39,김성배,2005,두산,2000,2.26
40,오세학,2005,두산,2000,
41,장인규,2005,두산,2000,
42,김수훈,2005,두산,2000,
43,송수,2005,두산,2000,
44,이원희,2005,두산,2000,0.639
45,남찬섭,2005,두산,2000,
0,김동주,2006,두산,42000,0.636
1,박명환,2006,두산,37000,3.237
2,홍성흔,2006,두산,32000,3.655
3,안경현,2006,두산,20000,3.539
4,장원진,2006,두산,20000,-0.301
5,전상렬,2006,두산,15000,-0.297
6,손시헌,2006,두산,13000,2.589
7,이혜천,2006,두산,12000,3.372
8,최경환,2006,두산,10500,
9,김창희,2006,두산,10000,
10,정재훈,2006,두산,10000,3.192
11,임재철,2006,두산,9000,1.183
12,문희성,2006,두산,8000,-0.266
13,강인권,2006,두산,7400,-0.028
14,김성배,2006,두산,5500,0.094
15,나주환,2006,두산,5300,0.289
16,강봉규,2006,두산,4400,
17,김명제,2006,두산,4000,0.748
18,황윤성,2006,두산,3900,
19,이승준,2006,두산,3500,
20,윤승균,2006,두산,3400,-0.062
21,이원희,2006,두산,3200,0.071
22,용덕한,2006,두산,3200,0.147
23,장교성,2006,두산,3000,-0.031
24,금민철,2006,두산,3000,0.276
25,정원석,2006,두산,2800,0.571
26,김주호,2006,두산,2800,-0.108
27,조현근,2006,두산,2700,
28,김승회,2006,두산,2500,1.404
29,박정배,2006,두산,2200,-0.162
30,이대현,2006,두산,2100,-0.057
31,고영민,2006,두산,2100,2.26
32,김상현,2006,두산,2100,
33,김무학,2006,두산,2000,
34,황규택,2006,두산,2000,
35,장인규,2006,두산,2000,0.043
36,이호성,2006,두산,2000,0.005
37,김혜겸,2006,두산,2000,
38,이종욱,2006,두산,2000,3.349
39,이윤호,2006,두산,2000,
40,서동환,2006,두산,2000,-0.159
41,윤석민,2006,두산,2000,-0.125
42,오세학,2006,두산,2000,
43,송수,2006,두산,2000,-0.002
0,김동주,2007,두산,42000,7.415
1,홍성흔,2007,두산,31000,1.871
2,안경현,2007,두산,30000,0.963
3,장원진,2007,두산,15000,-0.133
4,정재훈,2007,두산,15000,1.971
5,이혜천,2007,두산,15000,
6,전상렬,2007,두산,15000,-0.117
7,강동우,2007,두산,13500,-0.14
8,정성훈,2007,두산,8400,0.206
9,나주환,2007,두산,6300,
10,이종욱,2007,두산,6000,5.342
11,최준석,2007,두산,5500,1.378
12,김명제,2007,두산,5200,0.948
13,윤재국,2007,두산,5200,0.345
14,김덕윤,2007,두산,4400,-0.15
15,김승회,2007,두산,4200,0.391
16,고영민,2007,두산,4200,4.908
17,안상준,2007,두산,4200,-0.306
18,금민철,2007,두산,3600,0.902
19,유재웅,2007,두산,3200,-0.093
20,신재웅,2007,두산,3000,
21,노경은,2007,두산,3000,0.262
22,정원석,2007,두산,2900,0.176
23,김주호,2007,두산,2700,
24,이원희,2007,두산,2600,0.0
25,민병헌,2007,두산,2500,0.832
26,김진수,2007,두산,2200,-0.33
27,이대현,2007,두산,2100,
28,김상현,2007,두산,2100,
29,서동환,2007,두산,2100,0.033
30,최주환,2007,두산,2000,-0.068
31,정재훈,2007,두산,2000,1.971
32,김무학,2007,두산,2000,
33,이호성,2007,두산,2000,
34,김용성,2007,두산,2000,
35,이윤호,2007,두산,2000,
36,이승엽,2007,두산,2000,
37,윤석민,2007,두산,2000,-0.364
38,원용묵,2007,두산,2000,0.242
39,양의지,2007,두산,2000,-0.023
40,박진원,2007,두산,2000,
41,김현수,2007,두산,2000,1.616
42,김혜겸,2007,두산,2000,0.072
0,김동주,2008,두산,70000,5.177
1,김선우,2008,두산,40000,1.637
2,안경현,2008,두산,30000,0.197
3,정재훈,2008,두산,17500,1.617
4,이혜천,2008,두산,15000,1.111
5,이종욱,2008,두산,13000,4.287
6,이재우,2008,두산,13000,3.863
7,고영민,2008,두산,12000,4.645
8,이승학,2008,두산,12000,0.63
9,이재영,2008,두산,12000,
10,전상렬,2008,두산,10500,-0.252
11,장원진,2008,두산,10000,
12,이대수,2008,두산,9500,1.434
13,최준석,2008,두산,8000,0.195
14,김명제,2008,두산,6200,1.747
15,임태훈,2008,두산,6000,2.828
16,정성훈,2008,두산,6000,
17,민병헌,2008,두산,5200,-0.348
18,금민철,2008,두산,4700,1.424
19,채상병,2008,두산,4600,0.445
20,김현수,2008,두산,4200,7.137
21,김상현,2008,두산,4000,
22,김덕윤,2008,두산,4000,0.046
23,노경은,2008,두산,3700,-0.016
24,정원석,2008,두산,3500,-0.215
25,정재훈,2008,두산,3000,1.617
26,유재웅,2008,두산,2800,0.612
27,김진수,2008,두산,2700,-0.061
28,김재호,2008,두산,2600,1.385
29,오재원,2008,두산,2500,0.229
30,이경환,2008,두산,2200,0.0
31,원용묵,2008,두산,2100,0.026
32,서동환,2008,두산,2100,-0.093
33,김강률,2008,두산,2000,-0.102
34,권영준,2008,두산,2000,
35,최주환,2008,두산,2000,0.144
36,김용성,2008,두산,2000,
37,이윤호,2008,두산,2000,
38,윤석민,2008,두산,2000,
39,윤승균,2008,두산,2000,
40,이경민,2008,두산,2000,
41,박진원,2008,두산,2000,
42,이두환,2008,두산,2000,
43,이용찬,2008,두산,2000,0.528
44,이용호,2008,두산,2000,
45,이원재,2008,두산,2000,0.02
46,이윤학,2008,두산,2000,-0.057
47,이정민,2008,두산,2000,
0,김동주,2009,두산,70000,5.759
1,김선우,2009,두산,32000,2.293
2,이재우,2009,두산,20000,2.098
3,이종욱,2009,두산,17200,1.444
4,정재훈,2009,두산,16000,2.492
5,고영민,2009,두산,16000,1.262
6,손시헌,2009,두산,13000,3.323
7,김현수,2009,두산,12600,6.882
8,임태훈,2009,두산,9000,4.173
9,이대수,2009,두산,8700,0.113
10,이승학,2009,두산,8200,
11,김명제,2009,두산,8200,-0.557
12,김상현,2009,두산,8000,
13,임재철,2009,두산,7600,1.804
14,이원석,2009,두산,6800,2.089
15,채상병,2009,두산,6600,
16,최준석,2009,두산,6200,1.877
17,전상렬,2009,두산,6000,
18,금민철,2009,두산,6000,1.183
19,김재호,2009,두산,4400,0.544
20,유재웅,2009,두산,4400,0.276
21,오재원,2009,두산,4400,-0.78
22,김성배,2009,두산,4300,-0.227
23,최승환,2009,두산,4200,0.407
24,정원석,2009,두산,4200,
25,민병헌,2009,두산,4200,0.197
26,이성열,2009,두산,4200,0.077
27,노경은,2009,두산,3200,0.097
28,용덕한,2009,두산,3000,0.119
29,진야곱,2009,두산,2600,0.481
30,이원재,2009,두산,2500,
31,박민석,2009,두산,2500,-0.153
32,김진수,2009,두산,2500,0.079
33,이용찬,2009,두산,2400,0.923
34,최주환,2009,두산,2200,-0.199
35,박정배,2009,두산,2100,0.279
36,이경환,2009,두산,2100,
37,원용묵,2009,두산,2100,-0.039
38,최재훈,2009,두산,2000,
39,고창성,2009,두산,2000,3.044
40,이석만,2009,두산,2000,
41,박종섭,2009,두산,2000,
42,박진원,2009,두산,2000,
43,윤도경,2009,두산,2000,
44,윤요한,2009,두산,2000,
45,이정민,2009,두산,2000,
46,이두환,2009,두산,2000,
47,홍상삼,2009,두산,2000,1.029
0,김동주,2010,두산,70000,3.207
1,김선우,2010,두산,35000,3.804
2,김현수,2010,두산,25200,5.239
3,이재우,2010,두산,19000,0.358
4,손시헌,2010,두산,18500,2.422
5,임태훈,2010,두산,17000,0.812
6,이종욱,2010,두산,16200,3.377
7,이현승,2010,두산,14000,1.19
8,정재훈,2010,두산,14000,4.398
9,고영민,2010,두산,13500,0.741
10,임재철,2010,두산,11000,1.615
11,이원석,2010,두산,10500,1.517
12,최준석,2010,두산,10500,3.859
13,김상현,2010,두산,10000,
14,김명제,2010,두산,6200,
15,고창성,2010,두산,6000,2.323
16,이용찬,2010,두산,5900,1.187
17,민병헌,2010,두산,5800,0.287
18,최승환,2010,두산,5700,0.048
19,홍상삼,2010,두산,5700,0.189
20,김재호,2010,두산,5400,0.361
21,오재원,2010,두산,5200,1.701
22,유재웅,2010,두산,5000,0.539
23,용덕한,2010,두산,4500,-0.208
24,지승민,2010,두산,4200,-0.06
25,정수빈,2010,두산,4000,1.487
26,이성열,2010,두산,3600,2.842
27,김성배,2010,두산,3500,0.184
28,노경은,2010,두산,3000,-0.143
29,조규수,2010,두산,2900,0.047
30,박정배,2010,두산,2800,-0.08
31,오현택,2010,두산,2700,0.053
32,진야곱,2010,두산,2500,0.0
33,유희관,2010,두산,2500,-0.033
34,성영훈,2010,두산,2500,0.251
35,조승수,2010,두산,2400,-0.141
36,국해성,2010,두산,2400,
37,김진형,2010,두산,2400,
38,박건우,2010,두산,2400,
39,서동환,2010,두산,2400,
40,윤도경,2010,두산,2400,
41,이두환,2010,두산,2400,0.149
42,원용묵,2010,두산,2400,0.073
43,배상현,2010,두산,2400,
44,이원재,2010,두산,2400,-0.205
45,이원희,2010,두산,2400,
46,박종섭,2010,두산,2400,
47,양의지,2010,두산,2400,3.708
0,김동주,2011,두산,70000,3.444
1,김선우,2011,두산,40000,4.629
2,이혜천,2011,두산,35000,0.063
3,김현수,2011,두산,27000,4.199
4,손시헌,2011,두산,20200,2.535
5,정재훈,2011,두산,20200,2.005
6,이종욱,2011,두산,19200,3.566
7,최준석,2011,두산,16200,2.314
8,임태훈,2011,두산,15500,0.317
9,이재우,2011,두산,15000,
10,이현승,2011,두산,11500,0.687
11,고창성,2011,두산,9700,0.607
12,고영민,2011,두산,9500,0.198
13,이원석,2011,두산,9400,0.543
14,임재철,2011,두산,9200,0.944
15,이성열,2011,두산,8500,0.793
16,오재원,2011,두산,8500,3.546
17,양의지,2011,두산,7200,3.493
18,김상현,2011,두산,7000,
19,홍상삼,2011,두산,6300,-0.329
